# DDS,RB1A,RB2,RB3,RB4,RB1B,,RB1A',RB1B'
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.69E-02,1.69E-02,1.69E-02,1.69E-02,1.69E-02,1.69E-02,1.69E-02,1.69E-02,1.69E-02
3.39E-02,3.39E-02,3.39E-02,3.39E-02,3.39E-02,3.39E-02,3.39E-02,3.39E-02,3.39E-02
5.08E-02,5.08E-02,5.08E-02,5.08E-02,5.08E-02,5.08E-02,5.08E-02,5.08E-02,5.08E-02
6.78E-02,6.78E-02,6.78E-02,6.78E-02,6.78E-02,6.78E-02,6.78E-02,6.78E-02,6.78E-02
8.47E-02,8.47E-02,8.47E-02,8.47E-02,8.47E-02,8.47E-02,8.47E-02,8.47E-02,8.47E-02
1.02E-01,1.02E-01,1.02E-01,1.02E-01,1.02E-01,1.02E-01,1.02E-01,1.02E-01,1.02E-01
1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01,1.19E-01
1.36E-01,1.36E-01,1.36E-01,1.36E-01,1.36E-01,1.36E-01,1.36E-01,1.36E-01,1.36E-01
1.53E-01,1.53E-01,1.53E-01,1.53E-01,1.53E-01,1.53E-01,1.53E-01,1.53E-01,1.53E-01
1.69E-01,1.69E-01,1.69E-01,1.69E-01,1.69E-01,1.69E-01,1.69E-01,1.69E-01,1.69E-01
1.86E-01,1.86E-01,1.86E-01,1.86E-01,1.86E-01,1.86E-01,1.86E-01,1.86E-01,1.86E-01
2.03E-01,2.03E-01,2.03E-01,2.03E-01,2.03E-01,2.03E-01,2.03E-01,2.03E-01,2.03E-01
2.20E-01,2.20E-01,2.20E-01,2.20E-01,2.20E-01,2.20E-01,2.20E-01,2.20E-01,2.20E-01
2.37E-01,2.37E-01,2.37E-01,2.37E-01,2.37E-01,2.37E-01,2.37E-01,2.37E-01,2.37E-01
2.54E-01,2.54E-01,2.54E-01,2.54E-01,2.54E-01,2.54E-01,2.54E-01,2.54E-01,2.54E-01
2.71E-01,2.71E-01,2.71E-01,2.71E-01,2.71E-01,2.71E-01,2.71E-01,2.71E-01,2.71E-01
2.88E-01,2.88E-01,2.88E-01,2.88E-01,2.88E-01,2.88E-01,2.88E-01,2.88E-01,2.88E-01
3.05E-01,3.05E-01,3.05E-01,3.05E-01,3.05E-01,3.05E-01,3.05E-01,3.05E-01,3.05E-01
3.22E-01,3.22E-01,3.22E-01,3.22E-01,3.22E-01,3.22E-01,3.22E-01,3.22E-01,3.22E-01
3.39E-01,3.39E-01,3.39E-01,3.39E-01,3.39E-01,3.39E-01,3.39E-01,3.39E-01,3.39E-01
3.56E-01,3.56E-01,3.56E-01,3.56E-01,3.56E-01,3.56E-01,3.56E-01,3.56E-01,3.56E-01
3.73E-01,3.73E-01,3.73E-01,3.73E-01,3.73E-01,3.73E-01,3.73E-01,3.73E-01,3.73E-01
